word,remarks
egg,卵
bag,カバン
rose,バラ
chair,いす
bat,バット
fish,魚
notebook,ノート
pencil,鉛筆
dog,犬
desk,机
watch,腕時計
mitt,ミット
milk,牛乳
flower,花
door,ドア
boat,ボート
piano,ピアノ
orange,オレンジ
bird,鳥
sheep,羊
cup,カップ
bus,バス
apple,りんご
fruit,果物
car,自動車
cake,ケーキ
picture,絵
picture,写真
cat,猫
stamp,切手
plane,飛行機
book,本
racket,ラケット
glass,コップ
glass,ガラス
bed,ベッド
letter,手紙
tape,テープ
cap,帽子
mail,郵便
box,箱
bread,パン
doll,人形
table,テーブル
tree,木
pen,ペン
map,地図
cow,雌牛
pot,ポット
camera,カメラ
hand,手
lemon,レモン
city,都会
floor,階
yard,中庭
bank,銀行
bank,土手
library,図書館
hospital,病院
hotel,ホテル
village,村
kitchen,台所
wall,壁
park,公園
girl,少女
father,父
doctor,医者
pilot,パイロット
man,男の人
cook,料理人
sister,姉妹
mother,母
city,市
window,窓
church,教会
school,学校
country,国
country,いなか
country,地方
office,事務所
garden,庭
town,町
brother,兄弟
woman,女性
citizen,市民
parent,親
student,学生
clerk,店員
family,家族
teacher,先生
player,選手
player,演奏者
floor,床
store,店
station,駅
house,家
field,野原 競技場
Japan,日本
gate,門
room,部屋
aunt,おば
boy,少年
son,息子
nurse,看護婦
friend,友人
uncle,おじ
singer,歌手
daughter,娘
evening,晩
morning,朝
night,夜
noon,正午
tomorrow,明日
time,時，～回
afternoon,午後
diary,日記
meal,食事
breakfast,朝食
lunch,昼食
dinner,夕食
supper,夕食
walk,散歩
work,仕事 作品
basketball,バスケットボール
baseball,野球
tennis,テニス
homework,宿題
season,季節
spring,春
summer,夏
autumn,秋
fall,秋
winter,冬
minute,分 ちょっとの間
week,週
month,月
year,年
hour,時間
day,日
January,１月
February,２月
March,３月
April,４月
May,５月
June,６月
July,７月
August,８月
September,９月
October,１０月
November,１１月
December,１２月
Sunday,日曜日
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
like,好む
look,見る ～に見える
read,読む
drink,飲む
walk,歩く
wash,洗う
run,走る
stop,止める 止まる
have,持っている 食べる
wait,待つ
collect,集める
send,送る
come,来る
want,欲しい
do,する
make,作る ～を～にする
ride,乗る
enjoy,楽しむ
play,遊ぶ (スポーツを)する 演奏する
sing,歌う
speak,話す
cook,料理する
swim,泳ぐ
write,書く 手紙を書く
catch,捕まえる (列車に)間に合う
open,開ける
move,動く 感動させる
help,助ける
buy,買う
leave,去る 残す 置いて行く
meet,会う
live,住む 生きる
work,働く
go,行く
know,知っている
study,勉強する
eat,食べる
learn,学ぶ 覚える
stand,立つ
dance,踊る
sell,売る
arrive,到着する
get,得る 着く 乗る
put,置く
stay,滞在する
try,試す
give,与える (会などを)開く
use,使う
visit,訪問する
need,必要とする
sad,悲しい
high,高い
slow,遅い
nice,すばらしい
these,これらの
all,すべての
that,あの
red,赤い
green,緑の
strong,強い じょうぶな
big,大きい
fine,すばらしい 元気な 晴れた
happy,幸福な 楽しい
busy,忙しい
sorry,残念な
honest,正直な
poor,貧乏な かわいそうな 不十分な
later,後で
soon,すぐに
yesterday,昨日
o'clock,～時
already,すでに
up,上へ
there,そこに
well,よく じょうずに
so,そんなに
slowly,ゆっくりと
yet,まだ(～でない)
why,なぜ
best,一番良い
bad,悪い
clean,きれいな
fast,速い
large,大きい，広い
easy,やさしい 気楽に
tall,背の高い
some,いくつかの
early,早い
this,この
those,あれらの
warm,温暖な
cool,涼しい
new,新しい
short,短い 背が低い
little,小さい 幼い ちょっとした
dark,暗い 黒い
old,年をとった 古い
careful,注意深い
junior,年下の 下級の
hungry,空腹の
ill,病気の
usually,ふつう
today,今日 現在
fast,速く
now,今
ago,前
where,どこに
home,家を 家へ
much,ずっと たいへん
yes,はい
also,もまた
not,～でない
together,一緒に
